,Fe,Co,Ni,Cu,Ru,Rh,Pd,Ag,Ir,Pt,Au
Fe,-0.92,0.14,-0.04,-0.05,-0.73,-0.72,-1.32,-1.25,-0.95,-1.48,-2.19
Co,-0.01,-1.17,-0.2,-0.06,-0.7,-0.95,-1.65,-1.36,-1.09,-1.89,-2.39
Ni,0.96,0.11,-1.29,0.12,-0.63,-0.74,-1.32,-1.14,-0.86,-1.53,-2.1
Cu,0.25,0.38,0.18,-2.67,-0.22,-0.27,-1.04,-1.21,-0.32,-1.15,-1.96
Ru,0.3,0.37,0.29,0.3,-1.41,-0.12,-0.47,-0.4,-0.13,-0.61,-0.86
Rh,0.31,0.41,0.34,0.22,0.03,-1.73,-0.39,-0.08,0.03,-0.45,-0.57
Pd,0.36,0.54,0.54,0.8,-0.11,0.25,-1.83,0.15,0.31,0.04,-0.14
Ag,0.55,0.74,0.68,0.62,0.5,0.67,0.27,-4.3,0.8,0.37,-0.21
Ir,0.33,0.4,0.33,0.56,-0.01,-0.03,-0.42,-0.09,-2.11,-0.49,-0.59
Pt,0.35,0.53,0.54,0.78,0.12,0.24,0.02,0.19,0.29,-2.25,-0.08
Au,0.53,0.74,0.71,0.7,0.47,0.67,0.35,0.12,0.79,0.43,-3.56
