É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2018/06/21 03:18:39

,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy
îNåéì˙,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2017/6/20,17.7,8,1,24.2,8,1,12.8,8,1
2017/6/21,18.9,8,1,25.8,8,1,14.1,8,1
2017/6/22,16.8,8,1,18.4,8,1,15.9,8,1
2017/6/23,16.8,8,1,20.9,8,1,14.2,8,1
2017/6/24,17.8,8,1,21.2,8,1,14.6,8,1
2017/6/25,15.3,8,1,17.8,8,1,12.0,8,1
2017/6/26,13.1,8,1,15.2,8,1,11.8,8,1
2017/6/27,15.8,8,1,22.2,8,1,11.6,8,1
2017/6/28,17.7,8,1,21.9,8,1,13.2,8,1
2017/6/29,19.9,8,1,24.8,8,1,16.5,8,1
2017/6/30,22.5,8,1,29.6,8,1,16.4,8,1
2017/7/1,23.5,8,1,29.5,8,1,19.4,8,1
2017/7/2,20.3,8,1,25.0,8,1,16.2,8,1
2017/7/3,17.8,8,1,21.6,8,1,16.0,8,1
2017/7/4,19.3,8,1,22.3,8,1,16.7,8,1
2017/7/5,19.7,8,1,23.8,8,1,17.0,8,1
2017/7/6,23.0,8,1,29.1,8,1,18.4,8,1
2017/7/7,25.3,8,1,33.2,8,1,18.7,8,1
2017/7/8,24.1,8,1,30.0,8,1,19.9,8,1
2017/7/9,25.3,8,1,32.4,8,1,19.6,8,1
2017/7/10,26.4,8,1,33.2,8,1,23.6,8,1
2017/7/11,25.5,8,1,29.8,8,1,22.6,8,1
2017/7/12,24.2,8,1,28.3,8,1,21.6,8,1
2017/7/13,26.8,8,1,33.1,8,1,21.3,8,1
2017/7/14,27.7,8,1,34.9,8,1,22.1,8,1
2017/7/15,27.7,8,1,33.4,8,1,22.0,8,1
2017/7/16,23.7,8,1,27.3,8,1,21.1,8,1
2017/7/17,20.8,8,1,23.1,8,1,18.6,8,1
2017/7/18,18.8,8,1,21.3,8,1,17.3,8,1
2017/7/19,20.8,8,1,25.5,8,1,16.7,8,1
2017/7/20,22.7,8,1,27.1,8,1,19.0,8,1
2017/7/21,24.0,8,1,28.7,8,1,21.3,8,1
2017/7/22,21.8,8,1,26.1,8,1,19.9,8,1
2017/7/23,22.1,8,1,28.1,8,1,19.4,8,1
2017/7/24,22.0,8,1,26.9,8,1,19.5,8,1
2017/7/25,22.8,8,1,28.5,8,1,18.6,8,1
2017/7/26,21.8,8,1,25.7,8,1,17.2,8,1
2017/7/27,22.7,8,1,27.7,8,1,18.0,8,1
2017/7/28,20.5,8,1,23.0,8,1,19.4,8,1
2017/7/29,22.6,8,1,27.6,8,1,18.2,8,1
2017/7/30,23.3,8,1,29.2,8,1,18.2,8,1
2017/7/31,21.4,8,1,23.3,8,1,19.9,8,1
2017/8/1,22.3,8,1,27.1,8,1,19.2,8,1
2017/8/2,23.0,8,1,27.6,8,1,20.4,8,1
2017/8/3,21.8,8,1,25.7,8,1,19.0,8,1
2017/8/4,20.8,8,1,25.7,8,1,17.2,8,1
2017/8/5,22.5,8,1,27.7,8,1,18.8,8,1
2017/8/6,24.1,8,1,29.2,8,1,19.5,8,1
2017/8/7,23.9,8,1,29.6,8,1,20.2,8,1
2017/8/8,23.3,8,1,28.7,8,1,20.4,8,1
2017/8/9,20.7,8,1,23.3,8,1,18.0,8,1
2017/8/10,21.9,8,1,26.0,8,1,18.8,8,1
2017/8/11,21.8,8,1,25.8,8,1,18.8,8,1
2017/8/12,18.4,8,1,21.1,8,1,17.6,8,1
2017/8/13,19.3,8,1,22.7,8,1,16.4,8,1
2017/8/14,20.9,8,1,23.8,8,1,18.3,8,1
2017/8/15,22.3,8,1,27.0,8,1,18.9,8,1
2017/8/16,21.8,8,1,26.4,8,1,18.9,8,1
2017/8/17,20.6,8,1,24.0,8,1,19.0,8,1
2017/8/18,21.4,8,1,25.3,8,1,19.0,8,1
2017/8/19,21.7,8,1,26.3,8,1,18.7,8,1
2017/8/20,21.5,8,1,26.6,8,1,17.3,8,1
2017/8/21,22.2,8,1,27.1,8,1,17.8,8,1
2017/8/22,21.3,8,1,23.4,8,1,19.9,8,1
2017/8/23,24.7,8,1,29.3,8,1,21.0,8,1
2017/8/24,23.8,8,1,25.9,8,1,21.7,8,1
2017/8/25,23.4,8,1,27.0,8,1,20.5,8,1
2017/8/26,23.2,8,1,28.9,8,1,19.9,8,1
2017/8/27,22.0,8,1,26.0,8,1,18.1,8,1
2017/8/28,20.6,8,1,24.8,8,1,17.3,8,1
2017/8/29,19.7,8,1,23.6,8,1,16.5,8,1
2017/8/30,17.9,8,1,21.1,8,1,12.5,8,1
2017/8/31,18.6,8,1,23.2,8,1,14.9,8,1
2017/9/1,18.5,8,1,22.2,8,1,15.0,8,1
2017/9/2,18.4,8,1,22.0,8,1,15.4,8,1
2017/9/3,17.9,8,1,21.2,8,1,15.0,8,1
2017/9/4,19.9,8,1,25.3,8,1,14.5,8,1
2017/9/5,20.6,8,1,26.9,8,1,15.0,8,1
2017/9/6,21.3,8,1,26.5,8,1,17.1,8,1
2017/9/7,21.1,8,1,26.0,8,1,17.3,8,1
2017/9/8,21.1,8,1,25.5,8,1,17.0,8,1
2017/9/9,19.8,8,1,24.4,8,1,16.3,8,1
2017/9/10,17.6,8,1,22.7,8,1,13.2,8,1
2017/9/11,18.0,8,1,23.4,5,1,13.4,8,1
2017/9/12,16.4,8,1,18.1,8,1,15.5,8,1
2017/9/13,18.5,8,1,22.8,8,1,15.1,8,1
2017/9/14,17.8,8,1,21.8,8,1,13.4,8,1
2017/9/15,16.9,8,1,21.5,8,1,13.3,8,1
2017/9/16,16.4,8,1,20.8,8,1,12.2,8,1
2017/9/17,16.8,8,1,19.6,8,1,14.6,8,1
2017/9/18,16.3,8,1,20.8,8,1,13.4,8,1
2017/9/19,19.4,8,1,24.1,8,1,15.3,8,1
2017/9/20,18.1,8,1,23.6,8,1,14.8,8,1
2017/9/21,17.6,8,1,21.5,8,1,13.0,8,1
2017/9/22,17.6,8,1,24.0,8,1,11.3,8,1
2017/9/23,17.6,8,1,21.8,8,1,14.6,8,1
2017/9/24,17.6,8,1,23.2,8,1,13.9,8,1
2017/9/25,17.7,8,1,24.7,8,1,12.6,8,1
2017/9/26,17.2,8,1,23.8,8,1,10.1,8,1
2017/9/27,17.3,8,1,22.6,8,1,13.0,8,1
2017/9/28,12.9,8,1,15.3,8,1,9.8,8,1
2017/9/29,12.2,8,1,18.6,8,1,7.6,8,1
2017/9/30,13.8,8,1,19.1,8,1,9.0,8,1
2017/10/1,16.4,8,1,22.3,8,1,8.9,8,1
2017/10/2,17.3,8,1,20.7,8,1,13.2,8,1
2017/10/3,12.1,8,1,15.2,8,1,8.4,8,1
2017/10/4,9.4,8,1,13.6,8,1,6.7,8,1
2017/10/5,11.4,8,1,15.8,8,1,6.4,8,1
2017/10/6,13.9,8,1,19.5,8,1,7.0,8,1
2017/10/7,17.5,8,1,20.7,8,1,15.0,8,1
2017/10/8,16.9,8,1,20.5,8,1,13.4,8,1
2017/10/9,16.8,8,1,22.0,8,1,12.9,8,1
2017/10/10,13.1,8,1,15.8,8,1,11.1,8,1
2017/10/11,9.8,8,1,11.1,8,1,8.4,8,1
2017/10/12,9.9,8,1,12.8,8,1,7.7,8,1
2017/10/13,10.7,8,1,14.7,8,1,9.0,8,1
2017/10/14,11.4,8,1,14.8,8,1,7.0,8,1
2017/10/15,9.9,8,1,12.0,8,1,7.0,8,1
2017/10/16,9.2,8,1,12.9,8,1,4.2,8,1
2017/10/17,8.7,8,1,15.0,8,1,4.6,8,1
2017/10/18,6.3,8,1,10.6,8,1,4.3,8,1
2017/10/19,7.3,8,1,12.5,8,1,1.7,8,1
2017/10/20,10.9,8,1,14.4,8,1,6.2,8,1
2017/10/21,13.7,8,1,17.9,8,1,9.6,8,1
2017/10/22,11.3,8,1,13.9,8,1,8.9,8,1
2017/10/23,6.4,8,1,9.1,8,1,1.4,8,1
